code;name
ICC008;PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS USANDO TECNOLOGIAS WEB
ICC009;DESENVOLVIMENTO DE APLICATIVOS PARA DISPOSITIVOS MÓVEIS
ICC012;LABORATÓRIO DE PROGRAMAÇÃO B
ICC013;LABORATÓRIO DE PROGRAMAÇÃO C
ICC015;DESAFIOS DE PROGRAMAÇÃO I
ICC016;DESAFIOS DE PROGRAMAÇÃO II
ICC017;DESAFIOS DE PROGRAMAÇÃO III
ICC021;PRÁTICA EM PROGRAMAÇÃO I
ICC022;PRÁTICA EM PROGRAMAÇÃO II
ICC023;PRÁTICA EM PROGRAMAÇÃO III
ICC024;PRÁTICA EM PROGRAMAÇÃO IV
ICC026;DESAFIOS DE PROGRAMAÇÃO IV
ICC030;TÓPICOS ESPECIAIS EM PROGRAMAÇÃO I
ICC031;TÓPICOS ESPECIAIS EM PROGRAMAÇÃO II
ICC032;TÓPICOS ESPECIAIS EM PROGRAMAÇÃO III
ICC033;TÓPICOS ESPECIAIS EM PROGRAMAÇÃO IV
ICC034;TÓPICOS ESPECIAIS EM PROGRAMAÇÃO V
ICC035;TÓPICOS ESPECIAIS EM PROGRAMAÇÃO VI
ICC064;SISTEMAS DE COMPUTAÇÃO
ICC123;TÓPICOS ESPECIAIS EM ESTATÍSTICA APLICADA À COMPUTAÇÃO
ICC130;EXPERIÊNCIA CRIATIVA I
ICC131;EXPERIÊNCIA CRIATIVA II
ICC180;TÓPICOS ESPECIAIS EM CIÊNCIA DA COMPUTAÇÃO I
ICC181;TÓPICOS ESPECIAIS EM CIÊNCIA DA COMPUTAÇÃO II
ICC182;TÓPICOS AVANÇADOS EM CIÊNCIA DA COMPUTAÇÃO I
ICC183;TÓPICOS AVANÇADOS EM CIÊNCIA DA COMPUTAÇÃO II
ICC190;TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO I
ICC191;TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO II
ICC192;TÓPICOS AVANÇADOS EM SISTEMAS DE INFORMAÇÃO I
ICC193;TÓPICOS AVANÇADOS EM SISTEMAS DE INFORMAÇÃO II
ICC201;BANCOS DE DADOS II
ICC202;RECUPERAÇÃO DE INFORMAÇÃO MULTIMÍDIA
ICC203;GERÊNCIA DE DADOS NA WEB
ICC204;APRENDIZAGEM DE MÁQUINA E MINERAÇÃO DE DADOS
