code;name
IEC011;INTRODUÇÃO À COMPUTAÇÃO
IEF028;FÍSICA I E
IEF029;LABORATÓRIO DE FISICA I E 
IEM011;CALCULO I 
IEM012;ÁLGEBRA LINEAR I 
IHE030;INGLÊS INSTRUMENTAL I
IEC012;ALGORITMOS E ESTRUTURAS DE DADOS I
IEE001;PROBABILIDADE E ESTATISTICA
IEF038;FÍSICA II E
IEF039;LABORATÓRIO DE FISICA II E
IEM021;CÁLCULO II 
IEM022;ÁLGEBRA LINEAR II
IHP164;PORTUGUÊS INSTRUMENTAL 
FTE006;CIRCUITOS ELÉTRICOS I E
FTE007;LABORATÓRIO DE CIRCUITOS ELÉTRICOS I E
IEC010;MATEMÁTICA DISCRETA
IEC013;ALGORITMOS E ESTRUTURAS DE DADOS II 
IEC030;METODOLOGIA CIENTÍFICA NA CIÊNCIA DA COMPUTAÇÃO
IEF030;FÍSICA III E
IEF049;LABORATÓRIO DE FÍSICA III E
IEM141;EQUACÕES DIFERENCIAIS ORDINÁRIAS
FAE011;INTRODUCÃO À ECONOMIA
FTL022;ELETRÔNICA DIGITAL I 
FTL023;SINAIS E SISTEMAS
FTL026;ELETRÔNICA ANALÓGICA I
FTL041;LABORATÓRIO DE ELETRÔNICA ANALÓGICA I
IEC087;LINGUAGENS FORMAIS E AUTOMATA
IEE312;INFERÊNCIA ESTATÍSTICA I
FTE032;CONVERSÃO DE ENERGIA I 
FTE052;LABORATÓRIO DE CONVERSÃO DE ENERGIA I
FTL042;ELETRÔNICA DIGITAL II 
FTL044;LABORATÓRIO DE ELETRÔNICA DIGITAL 
FTL052;PROCESSAMENTO DIGITAL DE SINAIS
IEC481;PROJETO DE PROGRAMAS
IEC584;SISTEMAS OPERACIONAIS
IEC590;SISTEMAS DE EVENTOS DISCRETOS
FTE029;SISTEMA DE CONTROLE
FTE030;LABORATÓRIO DE SISTEMA DE CONTROLE
FTL062;PRINCÍPIOS DE COMUNICAÇÕES DIGITAIS
FTL065;ARQUITETURA DE SISTEMAS DIGITAIS
FTL066;PROGRAMAÇÃO EM TEMPO REAL
FTL067;LABORATÓRIO DE ARQUITETURA DE SISTEMAS DIGITAIS 
FTL085;REDES DE COMPUTADORES 
FAA011;INTRODUÇÃO À ADMINISTRAÇÃO
IEC029;SISTEMAS DISTRIBUÍDOS
IEC034;INTELIGÊNCIA ARTIFICIAL
FAA018;ORGANIZAÇÃO INDUSTRIAL I 
IHS041;SOCIOLOGIA DO TRABALHO
FTL068;PROJETO DE FINAL DE CURSO I
FTL216;ESTÁGIO SUPERVISIONADO 
FTL069;PROJETO DE FINAL DE CURSO II
FTE008;CIRCUITOS ELÉTRICOS II
FTL018;INTRODUÇÃO À ROBÓTICA
FTL029;SISTEMAS DE COMUNICAÇÕES
FTL051;LABORATÓRIO DE ELETRÔNICA ANALÓGICA II
FTL059;ELETRÔNICA ANALÓGICA II
FTL094;ENGENHARIA DE SOFTWARE RT
FTL095;LABORATÓRIO DE ENGENHARIA DE SOFTWARE RT
FTL096;MICROCONTROLADORES
FTL097;LABORATÓRIO DE MICROCONTROLADORES
FTL098;LABORATÓRIO DE INTRODUÇÃO À ROBÓTICA
FTL099;INTELIGÊNCIA ARTIFICIAL APLICADA
FTL100;SINAIS E SISTEMAS
FTL102;COMUNICAÇÃO ÓTICA
FTL103;PROCESSAMENTO DIGITAL DE IMAGENS
FTL104;EMPREENDEDORISMO
FTL114;GESTÃO DE QUALIDADE
FTL120;COMUNICAÇÃO SEM FIO 
FTL217;SISTEMAS EMBUTIDOS 
IEC028;COMPILADORES
IEC582;LINGUAGENS DE PROGRAMAÇÃO
IEC682;ENGENHARIA DE SOFTWARE
IHP123;LÍNGUA BRASILEIRA DE SINAIS B
